iterations,subIterations,prototype,techStack,testType,parallel,min,mean,median,max,error
10,5000,BK,Scala,read,true,493.0,714.6,688.5,1146.0,57.69977469626723
10,5000,BK,Scala,read,false,32.0,38.4,36.5,49.0,1.9193748982416121
10,5000,BK,Scala,write,true,493.0,518.6,502.5,629.0,12.874936893049222
10,5000,BK,Scala,write,false,31.0,39.0,39.5,48.0,1.7776388834631178
10,5000,BK,Scala,mix,true,499.0,531.8,506.5,697.0,18.562219694853304
10,5000,BK,Scala,mix,false,63.0,65.9,66.5,69.0,0.793095202355934
20,5000,BK,Scala,read,true,492.0,622.4,576.5,1462.0,47.5406878368414
20,5000,BK,Scala,read,false,28.0,39.8,36.5,56.0,2.2842942017174583
20,5000,BK,Scala,write,true,483.0,508.9,498.0,706.0,10.285645337070495
20,5000,BK,Scala,write,false,29.0,41.3,42.0,55.0,2.062886327454811
20,5000,BK,Scala,mix,true,488.0,511.55,496.5,684.0,9.745377109173353
20,5000,BK,Scala,mix,false,63.0,74.6,64.0,106.0,3.495282535074954
40,5000,BK,Scala,read,true,487.0,600.6,543.5,1420.0,26.694891833457575
40,5000,BK,Scala,read,false,28.0,32.775,31.0,49.0,0.9762732071505394
40,5000,BK,Scala,write,true,482.0,514.475,497.5,633.0,6.003747527586416
40,5000,BK,Scala,write,false,30.0,34.1,32.0,48.0,0.8527895402735658
40,5000,BK,Scala,mix,true,488.0,533.075,505.0,672.0,8.536567482015238
40,5000,BK,Scala,mix,false,57.0,62.45,63.0,71.0,0.5349649521230341
20,10000,BK,Scala,read,true,1936.0,2166.55,2068.0,3399.0,74.37154949979193
20,10000,BK,Scala,read,false,57.0,61.7,62.0,65.0,0.4421538193886828
20,10000,BK,Scala,write,true,1938.0,2046.9,2045.5,2220.0,18.639863196922875
20,10000,BK,Scala,write,false,61.0,65.7,65.0,80.0,0.9977474630386189
20,10000,BK,Scala,mix,true,1957.0,2044.3,2041.0,2130.0,11.927929409583205
20,10000,BK,Scala,mix,false,121.0,137.65,130.5,196.0,4.428473213196621
20,20000,BK,Scala,read,true,8051.0,8314.15,8184.5,10587.0,118.96392888182535
20,20000,BK,Scala,read,false,114.0,133.95,124.0,268.0,7.449991610733531
20,20000,BK,Scala,write,true,8059.0,8232.5,8280.5,8476.0,28.779289428337176
20,20000,BK,Scala,write,false,122.0,132.05,130.0,181.0,2.591789922042294
20,20000,BK,Scala,mix,true,8089.0,8270.4,8238.0,8827.0,36.13339175887035
20,20000,BK,Scala,mix,false,238.0,267.95,258.0,342.0,6.171496982094377
